19.0239 A,,,,,Frequency, Phase, Phaseshift, THD_percentage_of_fundamental
Fundamental, 19.0239 A, 50 Hz, 114.215508 °, 0.000000 °, 100 %
3th, , , , , 
5th, , , , , 
7th, 9.8745 A, 350 Hz, 100.147913 °, -14.067595 °, 51.9057 %
9th, 6.5582 A, 450 Hz, 52.845423 °, -61.370085 °, 34.4736 %
11th, , , , , 
13th, 0.99151 A, 650 Hz, 85.063239 °, -29.152270 °, 5.2119 %
15th, , , , , 
17th, , , , , 
19th, , , , , 
21st, , , , , 
23th, , , , , 
25th, , , , , 
27th, , , , , 
29th, , , , , 
30th, , , , , 
