 , Amplitude, Frequency, Phase, Phaseshift, THD_percentage_of_fundamental
Fundamental, 24.2876 A, 50 Hz, 20.876240 °, 0.000000 °, 100 %
3th, 0.65791 A, 150 Hz, 129.112852 °, 108.236611 °, 100 %
5th, 0.80268 A, 250 Hz, -41.248300 °, -62.124541 °, 100 %
7th, 0.69873 A, 450 Hz, -14.206851 °, -35.083092 °, 100 %
9th, 0.41979 A, 650 Hz, 1.887843 °, -18.988398 °, 100 %
11th, 0.35434 A, 750 Hz, -137.178430 °, -158.054670 °, 100 %
